ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Sudeste,ES,3203205,Interior,Estadual,Urbana,300.545712,292.728384,Feminino,Parda,Dezembro,2002,"Sim, um",Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade",Menos de 1 hora,Menos de 1 hora,Não,Somente continuar estudando
2017,Centro-Oeste,MS,5001003,Interior,Estadual,Urbana,207.777799,227.820232,Feminino,Branca,Setembro,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sudeste,RJ,3304557,Capital,Municipal,Urbana,193.708167,292.702841,Masculino,Indígena,Abril,2001,Não tem,Não sei,Não sei,Mais de 3 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,MA,2111789,Interior,Municipal,Urbana,164.236633,154.46116,NA,Preta,Abril,1999,Não tem,Não sei,NA,NA,NA,NA,NA
2017,Sudeste,SP,3510609,Interior,Estadual,Urbana,245.495432,222.097249,Feminino,Parda,Abril,2002,Não tem,Não sei,Não sei,Menos de 1 hora,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,PE,2611606,Capital,Estadual,Urbana,246.287674,259.870905,Masculino,Parda,Setembro,2001,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sudeste,SP,3509254,Interior,Estadual,Rural,209.069353,204.060962,Masculino,Branca,Fevereiro,2002,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Não faço trabalhos domésticos,Sim,Continuar estudando e trabalhar
2017,Sudeste,RJ,3302809,Interior,Estadual,Urbana,211.239866,216.443237,Masculino,Parda,Outubro,2002,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,CE,2304400,Capital,Estadual,Urbana,243.539673,239.241382,Feminino,Não quero declarar,Março,2001,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não sei,Entre 1 e 2 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,MA,2114007,Interior,Municipal,Rural,137.889665,144.781168,Masculino,Branca,NA,NA,"Sim, dois",NA,Completou a Faculdade,NA,Mais de 3 horas,NA,Ainda não sei
2017,Norte,PA,1504406,Interior,Municipal,Rural,271.059138,219.65604,Masculino,Branca,Julho,2002,Não tem,Não sei,Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
2017,Norte,AP,1600105,Interior,Estadual,Urbana,273.196705,270.464345,Masculino,Parda,Maio,2003,Não tem,Completou a Faculdade,Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,340.213374,349.330488,Masculino,Branca,Março,2003,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Norte,AM,1302603,Capital,Estadual,Urbana,181.061375,231.589107,Masculino,Parda,Novembro,2002,"Sim, um",Completou a Faculdade,NA,NA,NA,NA,NA
2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,289.846801,234.407813,Masculino,Parda,Janeiro,2003,"Sim, um",Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Ainda não sei
